"title","street","city","state","postal_code","phone","email","website","lat","lng"
"Standard Paint and Flooring","130 S 72nd Ave","Yakima","WA","98908","(509) 972-7620","","https://www.hydroblok.com/find-a-dealer/standard-paint-and-flooring/","46.596098","-120.6063226"
"Daltile Charleston","2261 Technical Pkwy Ste B","Charleston","SC","29406","(509) 972-7620","","https://www.hydroblok.com/find-a-dealer/daltile-charleston/","32.910524","-80.032352"
"SVC Interiors & Design Inc - Bellingham","1701 Ellis St, STE 107","Bellingham","WA","98225","(360) 676-6036","","https://www.hydroblok.com/find-a-dealer/svc-interiors-design-inc-bellingham/","48.752133","-122.4723879"
"Custom Touch Interiors","13029 NE 20th St","Bellevue","WA","98005","(425) 883-0555","","https://www.hydroblok.com/find-a-dealer/custom-touch-interiors/","47.627691","-122.165924"
"Standard Paint & Flooring, L.L.C. - Yakima","409 W Yakima Ave","Yakima","WA","98902","(509) 453-3171","","https://www.hydroblok.com/find-a-dealer/standard-paint-flooring-l-l-c-yakima/","46.600993","-120.5152148"
"Ceramic Tile Supply NW","1620 W 7th Ave","Eugene","OR","97402","541-343-0449","","http:// https://www.hydroblok.com/find-a-dealer/ceramic-tile-supply-nw/","44.051846","-123.1173497"
"Color Tile of Medford","3069 Crater Lake Ave","Medford"," OR","97504","(541) 776-3220","","https://www.hydroblok.com/find-a-dealer/color-tile-of-medford/","42.361246","-122.856127"
"Carpet One Floor & Home","1606 N Portland St","La Grande"," OR","97850","(541) 963-6033","","https://www.hydroblok.com/find-a-dealer/carpet-one-floor-home/","45.327568","-118.0790321"
"Southeastern Tile Connection Wilmington","2101 Capital Drive","Wilmington","NC","28405","(910) 799-5565","info@setileconnection.com","https://www.hydroblok.com/find-a-dealer/southeastern-tile-connection-wilmington/","34.284946","-77.8742883"
"Southeastern Tile Connection Durham","3738 Durham-Chapel Hill Blvd,. Unit D","Durham","NC","27707","(919) 237-9845","info@setileconnection.com","http:// https://www.hydroblok.com/find-a-dealer/southeastern-tile-connection-wilmington/ ","35.971667","-78.9533196"
"Sunsai Tile and Surfaces","1510 Drew Rd #14,","Mississauga","ON","L5S 1W7","+1 647-407-1191","","https://www.hydroblok.com/find-a-dealer/sunsai-tile-and-surfaces/","43.680469","-79.68067789999999"
"ATS Supply Ltd.","13451 Doole Road","Ladysmith","BC","V9G 1G6","250-661-6794","atssupplyltd@gmail.com","https://atssupply.ca/","49.043346","-123.7991889"
"Daltile Myrtle Beach","1330 17th Ave S","Myrtle Beach","SC","29577","(843) 839-0033","","https://www.hydroblok.com/find-a-dealer/daltile-myrtle-beach/","33.692744","-78.9168779"
"Daltile San Rafael","25 Pelican Way","San Rafael","CA","94901","(415)454-8610","","https://www.hydroblok.com/find-a-dealer/daltile-san-rafael/","37.949521","-122.4933352"
"EMCO Guelph","65 Dawson Rd #1","Guelph","ON","N1H 1B1","(519)822-9160","","https://www.hydroblok.com/find-a-dealer/emco-guelph/","43.547801","-80.2763825"
" Premier Surface & Supply LLC","12971 Eaton St","Detroit","MI","48227","(313) 659-6115","","https://www.hydroblok.com/find-a-dealer/premier-surface-supply-llc/","42.396981","-83.1738388"
"ProSource of Seattle","21312 30th Dr SE Suite B-107","Bothell","WA","98021","425-487-4343 ext. 100","","https://www.hydroblok.com/find-a-dealer/prosource-of-seattle/","47.804429","-122.1961172"
"East Coast Granite & Tile","3042 E Chestnut Expy,","Springfield","MO","65802","417-423-7722","","https://www.hydroblok.com/find-a-dealer/east-coast-granite-tile/","37.209412","-93.2324783"
" Curran Design Center","1609 N State Highway CC","Nixa","MO","65714","417-724-1018","","","37.073427","-93.2942168"
"Lakeside Renovations & Design","139 Chesterfield Industrial Blvd","Chesterfield","MO","63005","636-978-5000","","","38.665465","-90.62245209999999"
"Carpet One Floor & Home","105 Business Loop 70 E,","Columbia","MO","65203","(573) 303-5680","","","38.965102","-92.3359739"
"Homestar Design Remodel","13014 Manchester Rd, Suite C","Saint Louis","MO","63131","(314) 328-8200","","https://www.hydroblok.com/find-a-dealer/homestar-design-remodel/","38.602141","-90.459908"
" The Tile House, Whitby, ON","1400 Victoria Street East, Unit 3","Whitby","ON","L1N 0M2","(905) 668-2434","","https://www.hydroblok.com/find-a-dealer/the-tile-house-whitby/","43.866622","-78.91167380000002"
"Mees Distributors, Inc.","1541 West Fork Rd","Cincinnati","OH","45223","513-541-2311","jmassengale@meesdistributors.com","https://www.hydroblok.com/find-a-dealer/mees-distributors-inc/","39.163613","-84.55356789999999"
"Alpha Tile & Stone - Tampa","2443 East Meadow BLVD","Tampa","FL","33619","813-620-9000","tony@alphatile.com","https://www.hydroblok.com/find-a-dealer/alpha-tile-stone-tampa/","27.964333","-82.3626759"
"Alpha Tile & Stone - Sarasota","1808 Whitfield Avenue","Sarasota","FL","34243","941-727-7433","mikem@alphatile.com","https://www.hydroblok.com/find-a-dealer/alpha-tile-stone-sarasota/","27.417731","-82.5420022"
"Alpha Tile & Stone - Ft. Myers","10898 Metro Pkwy, Suite A","Ft. Myers","FL","33966","239-275-8288","lynn@alphatile.com","https://www.hydroblok.com/find-a-dealer/alpha-tile-stone-ft-myers/","26.583631","-81.8540255"
"M2 Tile & Stone + Slabs","26 Dufflaw Rd","Toronto","ON","M6A 2W1","416-850-1045","christine@m2tilestone.com","https://m2tilestone.com/","37.090240","-95.712891"
"Maris Home Improvements","208 Chesterfield Industrial Blvd.","Chesterfield","MO","63005","(636) 948-6004","","https://www.hydroblok.com/find-a-dealer/maris-home-improvements/","38.662838","-90.62111019999999"
"Global Stone LLC ","421 N Rawhide","Olathe","KS","66061","(913) 764-9400","","","38.886612","-94.7914234"
"Global Stone LLC "," 7613 NW. Prairie View Rd","Kansas City","MO","64151","(816)656-5111","","","39.233188","-94.6577253"
"Millenium Slate LLC","2027 County Rt 23","Middle Granville","NY","12849","855-677-6257","info@mslate.rocks","https://www.hydroblok.com/find-a-dealer/millenium-slate-llc/","43.433219","-73.2831515"
"Cabinet Design Studio","146th & Industrial Road","Omaha","NE","68144","(531) 301-9550","info@cabinetsomaha.com","https://www.hydroblok.com/find-a-dealer/cabinet-design-studio/","41.223547","-96.1370398"
"M2 Tile & Stone + Slabs","26 Dufflaw Rd","Toronto","ON","M6A 2W1","416-850-1045","info@m2tilestone.com","https://www.hydroblok.com/find-a-dealer/m2tilestone-distribution/","43.714597","-79.4624829"
"Daltile Cranberry - Pittsburgh North","220 Executive Dr. Ste 100-200","Cranberry Twp","PA","16066","(724) 776-2311","mark.mckinnis@daltile.com","https://locations.daltile.com/pa/cranberry-township/284/","40.687018","-80.1083365"
" BT Bath Inc.","35 Gotha St","Trenton","Ontario","K8V 6C9","416-986-5051","","https://btbath.ca","44.106004","-77.5868812"
"Daltile New Orleans","700 Elmwood pkwy. suite B","New Orleans","LA","70123","(504) 818-0118","","https://locations.daltile.com/la/new-orleans/110/","34.206818","-118.2000277"
"Daltile New Orleans","700 Elmwood pkwy. suite B","New Orleans","LA","70123","(504) 818-0118","","https://locations.daltile.com/la/new-orleans/110/","34.206818","-118.2000277"
"MB Services","2101 Baldwin Ave Suite 1","Crofton","Maryland","21114","(443) 590-5048","","http://www.mb-services.us","38.987085","-76.6935617"
"Iron Mountain Stone & Tile","","Concord","NC","28025","980-253-3451 ","ironmountainstone@gmail.com","https://www.ironmountainstone.com/","35.408752","-80.579511"
"ProSource Of Acadiana","321 E. Verot School Road","Lafayette","LA","70508","337-205-3606","","https://www.prosourcewholesale.com/showrooms/la-prosource-of-acadiana","30.180169","-91.9987441"
"ProSource Of Mobile","1558 West Interstate 65 Service Rd S","Mobile","AL","36693","(251) 202-3670","","https://www.prosourcewholesale.com/showrooms/al-prosource-of-mobile","30.657316","-88.1257069"
"ProSource of Baton Rouge","10848 Airline Hwy","Baton Rouge","LA","70809","(225) 230-4626","","https://www.prosourcewholesale.com/showrooms/la-prosource-of-baton-rouge","30.405814","-91.0624318"
"ProSource of New Orleans","1525 Edwards Ave","Harahan","LA","70123"," (504) 291-3904","","https://www.prosourcewholesale.com/showrooms/la-prosource-of-new-orleans","29.963340","-90.1955309"
"ProSource of Gonzales","2325 S Commerce Ave","Gonzales","LA","70737","(225) 230-4625","","https://www.prosourcewholesale.com/showrooms/la-prosource-of-gonzales","30.212301","-90.9409302"
"ProSource of Jackson","6370 Cole Rd","Ridgeland","MS","39157","(601) 255-2877","","https://www.prosourcewholesale.com/showrooms/ms-prosource-of-jackson","32.402802","-90.1754721"
"ProSource of Mandeville","13464 Seymour Myers Dr.","Covington","LA","70433","(985) 206-8619","","https://www.prosourcewholesale.com/showrooms/la-prosource-of-mandeville","30.452967","-90.17825909999999"
"Floor Surplus","1683 O'Neal Ln","Baton Rouge","LA","70816","(225) 372-3645","","https://www.floorsurplus.net/","30.445414","-91.005515"
"Smith & Purvis Carpet One","1905 N Morrison Blvd","Hammond","LA","70401","(985) 878-5085","","https://www.smithandpurviscarpetonehammond.com/","30.518365","-90.4833467"
"Menzie Stone","16575 Commercial Ave","Baton Rouge","LA","70816","(225) 275-7819","","https://menziestone.com/","30.445209","-91.00009089999999"
"Menzie Flooring & Stone Nola","1525 Edwards Ave","Harahan","LA","70816","504-733-3070","","","29.963340","-90.1955309"
"Menzie Production Builders ","16575 Commercial Ave Bldg. 2 2nd Floor","Baton Rouge","LA","70816 ","225-275-7819","","","30.454902","-91.1660626"
"PS Distribution","16575 Commercial Ave Bldg. 3","Baton Rouge","LA","70816 ","225-774-8686","","","30.454902","-91.1660626"
"Tile For Less - Federal Way ","1610 S 344th ST ","Federal Way ","WA","98003","(253) 878-5224","federalway@tileforlessnw.com","https://tileforlessnw.com/federal-way/","47.293824","-122.3129578"
"Contract Furnishings Mart - North Seattle","953 N 128th ST","Seattle","WA","98133","(206) 805-2709","dom.berryhill@cfmfloors.com","https://cfmfloors.com/north-seattle-wa/","47.722024","-122.3457891"
"Contract Furnishings Mart - Everett","802 134th St SW #160","Everett ","WA","98204","(425) 329-1330","ashley.whitworth@cfmfloors.com","https://cfmfloors.com/everett-wa/","47.874668","-122.2444849"
"Contract Furnishings Mart - Fife","3600 Industry Dr E ","Fife","WA","98424","(253) 922-4648","sam.gallagher@cfmfloors.com","https://cfmfloors.com/fife-wa/","47.237195","-122.3790488"
"Contract Furnishings Mart - Kent","22230 84th Ave S","Kent","WA","98032","(253) 234-2040","david.halingstad@cfmfloors.com","https://cfmfloors.com/kent-wa/","47.401990","-122.2274345"
"Contract Furnishings Mart - Lacey","8719 Commerce Pl Dr NE ","Lacey","WA","98516","(206) 480-0950","michelle.baduria@cfmfloors.com","https://cfmfloors.com/lacey-wa/","47.069864","-122.755813"
"Contract Furnishings Mart - Redmond","14920 NE 95th ST Suite A","Redmond","WA","98052","(425) 861-7589","jeri.martin@cfmfloors.com","https://cfmfloors.com/redmond-wa/","47.687631","-122.1413643"
"Contract Furnishings Mart - Seattle","500 S Brandon ST","Seattle ","WA","98108","(206) 763-4500","jed.kittell@cfmfloors.com","https://cfmfloors.com/seattle-wa/","47.554425","-122.3280481"
"Contract Furnishings Mart - Tacoma","6305 6th Ave ","Tacoma","WA","98406","(253) 284-0020","tom.quinlan@cfmfloors.com","https://cfmfloors.com/tacoma-wa/","47.257370","-122.5212989"
"Mat Valley Tile & Stone (Anchorage)","661 E 48th Ave","Anchorage","AK","99503","(907) 644-8453","sales@matvalleytile.com","https://www.matvalleytile.com/","61.177516","-149.8715782"
"Mat Valley Tile & Stone (Wasilla)","3770 E Steven Dr","Wasilla","AK","99654","(907) 357-8484","sales@matvalleytile.com","https://www.matvalleytile.com/","61.583959","-149.354752"
"Contemporary Bathrooms","1235 40 Ave NE","Calgary","AB","T2E 6M9","(403) 291-2200","info@contemporarybath.ca","","51.088271","-114.0328456"
"Home Hardware Penticton","150 Fairview Place","Penticton","British Columbia","V2A 6A5","(250) 493-1233","customerservice@pentictonhhbc.com","https://pentictonhhbc.com/","49.480589","-119.5966661"
"Golden Valley Tile and Stone","202 NE 1P Road","Clinton","MO","64735","660.351.6230","","","38.368632","-93.7782689"
"Metex Supply Co, Regina","Unit 12 ?309 Adolph Drive","Regina","SK","S4N5S5","(306) 530-8012","metexregina@gmail.com","https://metexsupply.com/","50.468787","-104.5771278"
"EMCO Corporation","1000 Last Mile Drive, Unit 1","Ottawa","ON","K1G 6Y1","613-824-6091","afortin@emcoltd.com","https://emco.ca/stores/emco-ottawa/","45.381849","-75.5886797"
"Standard Paint and Flooring","610 S Main Street","Ellensburg","WA","98926","(509) 962-2551","j.jenkins@standardpaintandflooring.com","https://www.standardpaintandflooring.com/","46.986329","-120.547708"
"Ziggy? Home Improvement (Spokane)","620 E Holland Ave","Spokane","WA","99218","(509) 467-4958","","https://ziggys.com/","47.742918","-117.3992009"
"Ziggy? Home Improvement (Lewiston)","1109 Warner Ave","Lewiston","ID","83501","(208) 743-6900","","https://ziggys.com/","46.384918","-116.9736402"
"Ziggy? Home Improvement (Post Falls)","2121 N Highway 41","Post Falls","ID","83854","(208) 777-1955","","https://ziggys.com/","47.728140","-116.8976719"
"Housing Interiors of Mid Missouri llc"," 5307 E St Charles Rd","Columbia","OH","65201","(573) 474-9695","HOUSINGINTERIORSLLC@GMAIL.COM","https://www.housinginteriorsllc.com/","40.417287","-82.90712300000001"
"McLean Floorcoverings","4391 W. US Highway 421","Wilkesboro","NC","28697","(336) 568-0804","","https://www.mcleanfloors.com/","36.149169","-81.2401375"
"Accent Floor Coverings","4614 N HWY 763","Columbia","OH","65202","(573) 874-2832","","https://accentfc.com/","40.417287","-82.90712300000001"
"Daltile Lenexa","15380 W. 101st Terrace","Lenexa","KS","66219","913-599-2987","KansasCity.SSC106@Daltile.com","https://locations.daltile.com/ks/lenexa/106/","38.946888","-94.7641652"
"Tile This","1436 Cliff Road E","Burnsville","MN","55337","(952) 882-0436 ","Sales@TileThis.com","https://tilethis.com/","44.790722","-93.2550847"
"Paul Davis of Polk County","3306 Waterfield Rd","Lakeland","FL","33803","+1 863-644-7373","","https://polk-county.pauldavis.com/","28.003713","-81.8968033"
"Flooring Outlet Center","5310 South Florida Avenue","Lakeland","FL","33813","+1 863-644-9935","","http://flooringoutletcenterinc.com/","27.968842","-81.9632408"
"Floors 4 Pro's","2108 Whitfield Park Loop","Sarasota","FL","34243","+1 941-666-8640","","https://www.floors4pros.com/","27.420861","-82.53849459999999"
"Prosource Wichita","535 S Emerson St,","Wichita","KS","67209","(316) 223-7860","","https://www.prosourcewholesale.com/showrooms/ks-prosource-of-wichita","37.675336","-97.4306148"
"Goodlife Home Renovations","2541 W College Rd","Springfield","MO","65802","+14175015994","","https://www.goodlifehomerenovations.com/","37.209606","-93.3273597"
"Maline Tile  - Massachusettes","20 Reservoir Park Drive","Rockland","MA","02370","781.792.1780","SalesMA@maline.com","https://malinetile.com/","42.160363","-70.9046475"
"Maline Tile  - New Jersey","2 Doig Road","Wayne","NJ","07470","973.835.0244","SalesNJ@maline.com","https://malinetile.com/","40.934286","-74.271301"
"Emco Kitchener","500 Trillium Drive, Units 3-5","Kitchener","Ontario","N2R 1A7","519-894-7000","SalesNJ@maline.com","https://emco.ca/stores/emco-kitchener/","43.401762","-80.46958819999999"
"The Tile House, Pickering, ON","1095 Kingston Rd #3","Pickering","ON","L1V 1B5","(905) 839-1434","","https://www.hydroblok.com/find-a-dealer/the-tile-house-pickering/","43.826877","-79.09927359999999"
"EMCO Peterborough","774 Rye St, #11","Peterborough","ON","K9J 6W9","(705) 742-4251","","https://emco.ca/stores/emco-peterborough/","44.278604","-78.34459609999999"
"The Ensuite Winnipeg","1199 St James St","Winnipeg","MB","R3K 0K8","(204)925-8466","customerservice@theensuite.ca","http://www.theensuitewinnipeg.ca","49.900865","-97.1994034"
" EMCO Western Supplies","1199 St James St","Winnipeg","MB","R3K 0K8","(204)925-8711","605cust@emcoltd.com","http://www.theensuitewinnipeg.ca","49.900865","-97.1994034"
"Remarkable Concept","1550 NE Riddell Rd, STE 10","Bremerton","WA","98310","(204)925-8711","inforemarkableconcept@gmail.com","https://www.remarkable-concept.com/","47.607453","-122.6309858"
"Idaho Floors","1905 19th Avenue","Lewiston","Idaho","83501","(208) 743-0327","info@idahofloors.net","https://idahofloors.net/","46.401279","-117.0041447"
"Accent Flooring","4614 N HGWY 763","Columbia","MO","65202","573-874-2832","","https://accentfc.com/","38.998512","-92.32299259999999"
